"","year","trait","TP","Family","Qsd1","correlation","Spearman_Cor","n_test","n_train","fold","trainingProportion"
"112","2021","GE","TP1","SY_Tepee/DH130910","0",0.369116067966559,0.412517780938834,37,17,10,40
"113","2021","GE","TP1","SY_Tepee/DH130910","2",0.371980494115811,0.130046948356807,71,17,10,40
"114","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.559292852849363,0.495069879104861,108,17,10,40
"115","2021","GE","TP1","Scala/DH130910","0",0.117070383893653,0.214121062067788,52,8,10,40
"116","2021","GE","TP1","Scala/DH130910","2",0.00432368695377479,-0.0128506787330317,51,8,10,40
"117","2021","GE","TP1","Scala/DH130910","AllAlleles",0.397294692090958,0.543887009620876,103,8,10,40
"118","2021","GE","TP1","Wintmalt/DH130910","0",0.216749912746594,0.20801393728223,41,15,10,40
"119","2021","GE","TP1","Wintmalt/DH130910","2",0.302373302824184,0.171714365101417,60,15,10,40
"120","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.444196892537651,0.427338380896913,101,15,10,40
"121","2021","GE","TP1","Overall","0",0.45671741584435,0.404718410198725,126,40,11,40
"122","2021","GE","TP1","Overall","2",0.208840279536569,0.281816972293971,187,40,11,40
"123","2021","GE","TP1","Overall","AllAlleles",0.463662812337931,0.475871330197276,313,40,11,40
"124","2021","GE","TP1","SY_Tepee/DH130910","0",-0.00822926201227568,0.12156862745098,35,20,11,40
"125","2021","GE","TP1","SY_Tepee/DH130910","2",0.313085588213345,0.156014346951273,70,20,11,40
"126","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.357661940382963,0.360470661414058,105,20,11,40
"127","2021","GE","TP1","Scala/DH130910","0",0.514540925210855,0.341719457013575,51,7,11,40
"128","2021","GE","TP1","Scala/DH130910","2",-0.0630750842828437,0.213272052894694,53,7,11,40
"129","2021","GE","TP1","Scala/DH130910","AllAlleles",0.48993203350298,0.526384295316334,104,7,11,40
"130","2021","GE","TP1","Wintmalt/DH130910","0",0.543462845734218,0.582363977485929,40,13,11,40
"131","2021","GE","TP1","Wintmalt/DH130910","2",0.260926304610974,0.236874002441242,63,13,11,40
"132","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.553620876343177,0.518199814942358,103,13,11,40
"133","2021","GE","TP1","Overall","0",0.203028659561477,0.256650918635171,126,40,12,40
"134","2021","GE","TP1","Overall","2",0.187272471420614,0.154875738070442,187,40,12,40
"135","2021","GE","TP1","Overall","AllAlleles",0.405567779634316,0.456421603224474,313,40,12,40
"136","2021","GE","TP1","SY_Tepee/DH130910","0",0.386925323274532,0.486486486486486,37,12,12,40
"137","2021","GE","TP1","SY_Tepee/DH130910","2",0.247369192283316,0.246999316473001,76,12,12,40
"138","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.482759099950745,0.535664382194424,113,12,12,40
"139","2021","GE","TP1","Scala/DH130910","0",0.312967421318774,0.289795918367347,50,12,12,40
"140","2021","GE","TP1","Scala/DH130910","2",0.22175333376217,0.119795918367347,49,12,12,40
"141","2021","GE","TP1","Scala/DH130910","AllAlleles",0.482193885449296,0.561051329622758,99,12,12,40
"142","2021","GE","TP1","Wintmalt/DH130910","0",0.168110266742279,0.188663967611336,39,16,12,40
"143","2021","GE","TP1","Wintmalt/DH130910","2",0.295214849898103,0.247835111538205,61,16,12,40
"144","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.414583185603324,0.402947503594684,100,16,12,40
"145","2021","GE","TP1","Overall","0",0.17456729034988,0.134542182227222,126,40,13,40
"146","2021","GE","TP1","Overall","2",0.337498677560681,0.36364220271876,187,40,13,40
"147","2021","GE","TP1","Overall","AllAlleles",0.411534009847573,0.527779859482028,313,40,13,40
"148","2021","GE","TP1","SY_Tepee/DH130910","0",0.353717352047401,0.444578181420287,38,12,13,40
"149","2021","GE","TP1","SY_Tepee/DH130910","2",0.254229683708046,0.298975817923186,75,12,13,40
"150","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.480466269528855,0.522631246257236,113,12,13,40
"151","2021","GE","TP1","Scala/DH130910","0",-0.00685194636293086,-0.113367346938775,49,11,13,40
"152","2021","GE","TP1","Scala/DH130910","2",0.234446202329775,0.113484162895928,51,11,13,40
"153","2021","GE","TP1","Scala/DH130910","AllAlleles",0.338015507081572,0.456837683768377,100,11,13,40
"154","2021","GE","TP1","Wintmalt/DH130910","0",0.345624244512227,0.254251012145749,39,17,13,40
"155","2021","GE","TP1","Wintmalt/DH130910","2",0.373202761102628,0.257714055513278,60,17,13,40
"156","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.512904649271488,0.488721362777113,99,17,13,40
"157","2021","GE","TP1","Overall","0",0.124167592038266,0.205345331833521,126,40,14,40
"158","2021","GE","TP1","Overall","2",0.198123490859892,0.319817990880309,187,40,14,40
"159","2021","GE","TP1","Overall","AllAlleles",0.319293737631658,0.456165427444012,313,40,14,40
"160","2021","GE","TP1","SY_Tepee/DH130910","0",0.127613418093929,0.292263923842871,38,15,14,40
"161","2021","GE","TP1","SY_Tepee/DH130910","2",0.18761138406169,0.255257572834266,72,15,14,40
"162","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.377475508006468,0.43571895498501,110,15,14,40
"163","2021","GE","TP1","Scala/DH130910","0",0.0693457624858425,0.1513644773358,47,11,14,40
"164","2021","GE","TP1","Scala/DH130910","2",0.0975322102620087,0.290517658442187,53,11,14,40
"165","2021","GE","TP1","Scala/DH130910","AllAlleles",0.30282790901588,0.473819381938194,100,11,14,40
"166","2021","GE","TP1","Wintmalt/DH130910","0",0.0187929018135611,0.0808362369337979,41,14,14,40
"167","2021","GE","TP1","Wintmalt/DH130910","2",0.103579370173148,0.0345319936541512,61,14,14,40
"168","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.299648871219766,0.34082363119236,102,14,14,40
"169","2021","GE","TP1","Overall","0",0.289373596763076,0.328565284178187,125,40,15,40
"170","2021","GE","TP1","Overall","2",0.273900457448183,0.335853922610625,188,40,15,40
"171","2021","GE","TP1","Overall","AllAlleles",0.38046268382874,0.457405232941401,313,40,15,40
"172","2021","GE","TP1","SY_Tepee/DH130910","0",0.16843084828257,0.287449392712551,38,10,15,40
"173","2021","GE","TP1","SY_Tepee/DH130910","2",0.376290308088414,0.240811819759188,77,10,15,40
"174","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.373687607604684,0.406999132012941,115,10,15,40
"175","2021","GE","TP1","Scala/DH130910","0",0.221352473969593,0.309121111446693,43,17,15,40
"176","2021","GE","TP1","Scala/DH130910","2",0.244637583863962,0.361357466063348,51,17,15,40
"177","2021","GE","TP1","Scala/DH130910","AllAlleles",0.372891171417688,0.524560199400354,94,17,15,40
"178","2021","GE","TP1","Wintmalt/DH130910","0",0.249359173968082,0.246229739252995,44,13,15,40
"179","2021","GE","TP1","Wintmalt/DH130910","2",0.167768002745428,0.155379242845967,59,13,15,40
"180","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.29977124385029,0.279500394007759,103,13,15,40
"181","2021","GE","TP1","Overall","0",0.237475507157102,0.248128776780809,128,40,16,40
"182","2021","GE","TP1","Overall","2",0.253659657000376,0.28524343774254,185,40,16,40
"183","2021","GE","TP1","Overall","AllAlleles",0.438690888674812,0.51226562972358,313,40,16,40
"184","2021","GE","TP1","SY_Tepee/DH130910","0",0.273424675586645,0.323264540337711,40,11,16,40
"185","2021","GE","TP1","SY_Tepee/DH130910","2",0.367656766698045,0.214513143280267,74,11,16,40
"186","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.522169614566317,0.518187157003706,114,11,16,40
"187","2021","GE","TP1","Scala/DH130910","0",0.255490510500574,0.170683579985906,44,15,16,40
"188","2021","GE","TP1","Scala/DH130910","2",0.0415114066177144,0.131221719457014,52,15,16,40
"189","2021","GE","TP1","Scala/DH130910","AllAlleles",0.441584910090471,0.51950623982637,96,15,16,40
"190","2021","GE","TP1","Wintmalt/DH130910","0",0.3165630561424,0.296124031007752,44,14,16,40
"191","2021","GE","TP1","Wintmalt/DH130910","2",0.371310201368815,0.296722395716226,58,14,16,40
"192","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.487264424508985,0.475096197072306,102,14,16,40
"193","2021","GE","TP1","Overall","0",0.259506814943943,0.184224060822898,129,40,17,40
"194","2021","GE","TP1","Overall","2",0.263086419469534,0.308785377273339,184,40,17,40
"195","2021","GE","TP1","Overall","AllAlleles",0.406960030034037,0.462024549258626,313,40,17,40
"196","2021","GE","TP1","SY_Tepee/DH130910","0",0.163415772365131,0.245403377110694,40,11,17,40
"197","2021","GE","TP1","SY_Tepee/DH130910","2",0.181989321609022,0.183383931877083,74,11,17,40
"198","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.408095383381464,0.451991656710071,114,11,17,40
"199","2021","GE","TP1","Scala/DH130910","0",0.299716251607863,0.221338267036694,46,18,17,40
"200","2021","GE","TP1","Scala/DH130910","2",0.200564715452329,0.295097132284921,47,18,17,40
"201","2021","GE","TP1","Scala/DH130910","AllAlleles",0.441836913728048,0.490644862880845,93,18,17,40
"202","2021","GE","TP1","Wintmalt/DH130910","0",0.418958737883966,0.355934762911507,43,11,17,40
"203","2021","GE","TP1","Wintmalt/DH130910","2",0.280804134717646,0.183954068142328,62,11,17,40
"204","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.476055999385144,0.415726726104085,105,11,17,40
"205","2021","GE","TP1","Overall","0",0.00107507537928048,0.0542510311211099,127,40,18,40
"206","2021","GE","TP1","Overall","2",0.0146592182711061,-0.0552998571487182,186,40,18,40
"207","2021","GE","TP1","Overall","AllAlleles",0.12292733146693,0.131919087601746,313,40,18,40
"208","2021","GE","TP1","SY_Tepee/DH130910","0",0.493815188462154,0.451820728291317,35,13,18,40
"209","2021","GE","TP1","SY_Tepee/DH130910","2",0.261928084080678,0.0214259424785741,77,13,18,40
"210","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.442434774703986,0.28209245908361,112,13,18,40
"211","2021","GE","TP1","Scala/DH130910","0",0.142266760797633,0.024921968787515,50,9,18,40
"212","2021","GE","TP1","Scala/DH130910","2",0.142985633676617,0.169725945530607,52,9,18,40
"213","2021","GE","TP1","Scala/DH130910","AllAlleles",0.369685581260819,0.42913526075623,102,9,18,40
"214","2021","GE","TP1","Wintmalt/DH130910","0",0.236951600107725,0.298922291548497,42,17,18,40
"215","2021","GE","TP1","Wintmalt/DH130910","2",0.203441498646763,0.302020709475573,57,17,18,40
"216","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.35962527120327,0.450780614660827,99,17,18,40
"217","2021","GE","TP1","Overall","0",0.206881860003806,0.192703150912106,134,40,19,40
"218","2021","GE","TP1","Overall","2",0.0814767326228637,0.0913994637284369,179,40,19,40
"219","2021","GE","TP1","Overall","AllAlleles",0.337631415353287,0.339080467641869,313,40,19,40
"220","2021","GE","TP1","SY_Tepee/DH130910","0",0.220301433074394,0.379144326512747,38,17,19,40
"221","2021","GE","TP1","SY_Tepee/DH130910","2",0.164190655510552,0.0792756539235412,70,17,19,40
"222","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.32607920079336,0.336105633199005,108,17,19,40
"223","2021","GE","TP1","Scala/DH130910","0",0.155677067968461,0.119952236213634,48,15,19,40
"224","2021","GE","TP1","Scala/DH130910","2",-0.00471326423866854,-0.0378853669127225,48,15,19,40
"225","2021","GE","TP1","Scala/DH130910","AllAlleles",0.371048486542375,0.368027672273467,96,15,19,40
"226","2021","GE","TP1","Wintmalt/DH130910","0",0.274036144296039,0.253039513677812,48,8,19,40
"227","2021","GE","TP1","Wintmalt/DH130910","2",0.12584854185048,0.129982355977478,60,8,19,40
"228","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.345612746934513,0.320191870283641,108,8,19,40
"229","2021","GE","TP1","Overall","0",0.270551414565789,0.265414088863892,127,40,20,40
"230","2021","GE","TP1","Overall","2",0.172520930569902,0.0391479648354599,186,40,20,40
"231","2021","GE","TP1","Overall","AllAlleles",0.398047257409338,0.353390352680269,313,40,20,40
"232","2021","GE","TP1","SY_Tepee/DH130910","0",0.259690161553476,0.346718146718147,36,11,20,40
"233","2021","GE","TP1","SY_Tepee/DH130910","2",0.223747930039343,0.103832875984775,78,11,20,40
"234","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.348255253264272,0.297981004839918,114,11,20,40
"235","2021","GE","TP1","Scala/DH130910","0",0.230609111241745,0.148163265306122,49,11,20,40
"236","2021","GE","TP1","Scala/DH130910","2",0.120121730907312,-0.0211764705882353,51,11,20,40
"237","2021","GE","TP1","Scala/DH130910","AllAlleles",0.426916045230419,0.436807680768077,100,11,20,40
"238","2021","GE","TP1","Wintmalt/DH130910","0",0.392181454953245,0.362126245847176,42,17,20,40
"239","2021","GE","TP1","Wintmalt/DH130910","2",0.223431113485553,0.110223460985773,57,17,20,40
"240","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.429711208108204,0.343012810801921,99,17,20,40
"241","2021","GE","TP1","Overall","0",0.326091781516531,0.279490063742032,126,40,21,40
"242","2021","GE","TP1","Overall","2",0.17488497525831,0.167117040652943,187,40,21,40
"243","2021","GE","TP1","Overall","AllAlleles",0.383589486166023,0.380071235375919,313,40,21,40
"244","2021","GE","TP1","SY_Tepee/DH130910","0",0.1009505495712,0.22985842985843,36,18,21,40
"245","2021","GE","TP1","SY_Tepee/DH130910","2",0.187047464239911,0.0564050972501677,71,18,21,40
"246","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.308775815335346,0.296733870177707,107,18,21,40
"247","2021","GE","TP1","Scala/DH130910","0",0.313803658633449,0.272755102040816,49,10,21,40
"248","2021","GE","TP1","Scala/DH130910","2",-0.0221543907415032,0.179629471527363,52,10,21,40
"249","2021","GE","TP1","Scala/DH130910","AllAlleles",0.341811307449474,0.373861386138614,101,10,21,40
"250","2021","GE","TP1","Wintmalt/DH130910","0",0.34802375785103,0.27212543554007,41,12,21,40
"251","2021","GE","TP1","Wintmalt/DH130910","2",0.228463552331125,0.0748136858455112,63,12,21,40
"252","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.409914490335387,0.320453217896205,104,12,21,40
"253","2021","GE","TP1","Overall","0",0.409570053499148,0.436041197975253,127,40,22,40
"254","2021","GE","TP1","Overall","2",0.293063638218244,0.280737269265342,186,40,22,40
"255","2021","GE","TP1","Overall","AllAlleles",0.453209522835771,0.477947968786046,313,40,22,40
"256","2021","GE","TP1","SY_Tepee/DH130910","0",0.226727656749823,0.283603238866397,39,10,22,40
"257","2021","GE","TP1","SY_Tepee/DH130910","2",0.305487771875562,0.235789473684211,76,10,22,40
"258","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.427252831970892,0.485615087193246,115,10,22,40
"259","2021","GE","TP1","Scala/DH130910","0",0.278087840027147,0.332839962997225,46,14,22,40
"260","2021","GE","TP1","Scala/DH130910","2",0.118296010444479,0.180814479638009,51,14,22,40
"261","2021","GE","TP1","Scala/DH130910","AllAlleles",0.332386988362268,0.411253418893331,97,14,22,40
"262","2021","GE","TP1","Wintmalt/DH130910","0",0.538600232433092,0.591929341220322,42,16,22,40
"263","2021","GE","TP1","Wintmalt/DH130910","2",0.302925124042032,0.114185520723474,58,16,22,40
"264","2021","GE","TP1","Wintmalt/DH130910","AllAlleles",0.531270430948911,0.464645858525519,100,16,22,40
"265","2021","GE","TP1","Overall","0",0.44716051609136,0.43672294275492,129,40,23,40
"266","2021","GE","TP1","Overall","2",0.252649029698997,0.308647790109794,184,40,23,40
"267","2021","GE","TP1","Overall","AllAlleles",0.441424550772269,0.470760055984908,313,40,23,40
"268","2021","GE","TP1","SY_Tepee/DH130910","0",-0.0961132615772226,-0.051537367326841,38,16,23,40
"269","2021","GE","TP1","SY_Tepee/DH130910","2",0.276552143008019,0.247216633132126,71,16,23,40
"270","2021","GE","TP1","SY_Tepee/DH130910","AllAlleles",0.275493497383315,0.34963395422111,109,16,23,40
"271","2021","GE","TP1","Scala/DH130910","0",0.363910103766815,0.391651248843663,47,14,23,40
"272","2021","GE","TP1","Scala/DH130910","2",0.199232176828825,0.27202881152461,50,14,23,40
"273","2021","GE","TP1","Scala/DH130910","AllAlleles",0.383939887427013,0.448177466863034,97,14,23,40
"274","2021","GE","TP1","Wintmalt/DH130910","0",0.56721783784845,0.641437632135306,44,10,23,40
