"","year","trait","TP","Qsd1Train","Family","Qsd1","correlation","Spearman_Cor","n_test","n_train","fold","trainingProportion"
"76","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.072508515138065,0.101664109010568,82,13,10,40
"77","2021","GE","TP1",0,"Scala/DH130910",0,0.46919360892038,0.415125651967757,37,17,10,40
"78","2021","GE","TP1",0,"Scala/DH130910",2,0.138679788540031,0.150700025926886,57,17,10,40
"79","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.442283711303356,0.479155268628953,38,10,10,40
"80","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.336095890664083,0.319333505124908,68,10,10,40
"81","2021","GE","TP1",0,"Overall",0,0.348214200231341,0.283806759278457,105,40,11,40
"82","2021","GE","TP1",0,"Overall",2,0.379287640797163,0.277230680294871,208,40,11,40
"83","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.277631023364553,0.358263305322129,35,8,11,40
"84","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.180818589034524,0.0806804453586705,82,8,11,40
"85","2021","GE","TP1",0,"Scala/DH130910",0,0.233225710281889,0.157238209869789,38,16,11,40
"86","2021","GE","TP1",0,"Scala/DH130910",2,0.0540188677661902,0.0810215193155302,57,16,11,40
"87","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.569669345916356,0.545087976539589,32,16,11,40
"88","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.543935345682377,0.473551108460588,68,16,11,40
"89","2021","GE","TP1",0,"Overall",0,0.400394564842856,0.389415301679453,105,40,12,40
"90","2021","GE","TP1",0,"Overall",2,0.446573874120558,0.405634546586246,208,40,12,40
"91","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.0800342125805036,0.165322580645161,32,11,12,40
"92","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.0929599556632483,0.0255874446294664,82,11,12,40
"93","2021","GE","TP1",0,"Scala/DH130910",0,0.384965556157081,0.331781376518219,39,15,12,40
"94","2021","GE","TP1",0,"Scala/DH130910",2,0.208894812551809,0.231656728026964,57,15,12,40
"95","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.531196670473736,0.5877769289534,34,14,12,40
"96","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.541625322956189,0.535009113750301,68,14,12,40
"97","2021","GE","TP1",0,"Overall",0,0.440989555680603,0.434967862326353,105,40,13,40
"98","2021","GE","TP1",0,"Overall",2,0.419159752488994,0.390032294661218,208,40,13,40
"99","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.116407994185633,0.255241935483871,31,12,13,40
"100","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.155295363456931,0.0975283246808372,82,12,13,40
"101","2021","GE","TP1",0,"Scala/DH130910",0,0.384040359510019,0.337058290546663,43,11,13,40
