"","Family","Qsd1","correlation","trait","Population","Model"
"577","Scala/DH130910","2",0.375205631157428,"TP3_GI","Full","Base"
"578","Scala/DH130910","Overall",0.832664298580139,"TP3_GI","Full","Base"
"579","SY_Tepee/DH130910","0",-0.00731438806562969,"TP3_GI","Full","Base"
"580","SY_Tepee/DH130910","2",0.680994119899211,"TP3_GI","Full","Base"
"581","SY_Tepee/DH130910","Overall",0.869335640785869,"TP3_GI","Full","Base"
"582","Wintmalt/DH130910","0",0.470529966892954,"TP3_GI","Full","Base"
"583","Wintmalt/DH130910","2",0.313790025840922,"TP3_GI","Full","Base"
"584","Wintmalt/DH130910","Overall",0.792072355928191,"TP3_GI","Full","Base"
"585","Flavia/DH130910","2",0.323888065971511,"TP3_GI","Full","Base"
"586","Flavia/DH130910","Overall",0.323888065971511,"TP3_GI","Full","Base"
"587","Overall","0",0.272341129303004,"TP3_GI","Full","Base"
"588","Overall","2",0.321047985655075,"TP3_GI","Full","Base"
"589","Overall","Overall",0.80866032194456,"TP3_GI","Full","Base"
"590","Scala/DH130910","0",0.356870176554567,"TP3_GI","Full","Base"
"591","Scala/DH130910","2",0.386938350013393,"TP3_GI","Full","Base"
"592","Scala/DH130910","Overall",0.888950406806474,"TP3_GI","Full","Base"
"593","SY_Tepee/DH130910","0",-0.181920168700686,"TP3_GI","Full","Base"
"594","SY_Tepee/DH130910","2",0.213109322386366,"TP3_GI","Full","Base"
"595","SY_Tepee/DH130910","Overall",0.742176967965847,"TP3_GI","Full","Base"
"596","Wintmalt/DH130910","0",0.38332080360768,"TP3_GI","Full","Base"
"597","Wintmalt/DH130910","2",0.285272427706311,"TP3_GI","Full","Base"
"598","Wintmalt/DH130910","Overall",0.763285880083979,"TP3_GI","Full","Base"
"599","Flavia/DH130910","2",0.363044892633662,"TP3_GI","Full","Base"
"600","Flavia/DH130910","Overall",0.363044892633662,"TP3_GI","Full","Base"
"601","Overall","0",0.475059090635508,"TP3_GI","Full","Base"
"602","Overall","2",0.584378561043046,"TP3_GI","Full","Base"
"603","Overall","Overall",0.858836210843257,"TP3_GI","Full","Base"
"604","Scala/DH130910","0",0.304382872570075,"TP3_GI","Full","Base"
"605","Scala/DH130910","2",0.438184814282592,"TP3_GI","Full","Base"
"606","Scala/DH130910","Overall",0.803219069683904,"TP3_GI","Full","Base"
"607","SY_Tepee/DH130910","0",0.574563317300317,"TP3_GI","Full","Base"
"608","SY_Tepee/DH130910","2",0.655266716378722,"TP3_GI","Full","Base"
"609","SY_Tepee/DH130910","Overall",0.880615120261034,"TP3_GI","Full","Base"
"610","Wintmalt/DH130910","0",0.537222158421287,"TP3_GI","Full","Base"
"611","Wintmalt/DH130910","2",0.634310620173093,"TP3_GI","Full","Base"
"612","Wintmalt/DH130910","Overall",0.900837903621554,"TP3_GI","Full","Base"
"613","DH130910","2",NA,"TP3_GI","Full","Base"
"614","DH130910","Overall",NA,"TP3_GI","Full","Base"
"615","Flavia/DH130910","2",0.463269662833061,"TP3_GI","Full","Base"
"616","Flavia/DH130910","Overall",0.463269662833061,"TP3_GI","Full","Base"
"617","Overall","0",0.318718373211805,"TP3_GI","Full","Base"
"618","Overall","2",0.48973019637709,"TP3_GI","Full","Base"
"619","Overall","Overall",0.850314387839247,"TP3_GI","Full","Base"
