"","Family","Qsd1","correlation","ModelCalled","trait","trainingPop"
"2490","Wintmalt/DH130910","Overall",0.885754063074729,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2491","Flavia/DH130910","2",0.371011440702388,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2492","Flavia/DH130910","Overall",0.371011440702388,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2493","Overall","0",0.463767339816629,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2494","Overall","2",0.517316095626096,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2495","Overall","Overall",0.720866352469421,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2496","SY_Tepee/DH130910","0",0.647239187125534,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2497","SY_Tepee/DH130910","2",0.563960697342244,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2498","SY_Tepee/DH130910","Overall",0.806812338942628,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2499","Scala/DH130910","0",0.417909847758067,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2500","Scala/DH130910","2",0.706863306404664,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2501","Scala/DH130910","Overall",0.6841936801727,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2502","Wintmalt/DH130910","0",0.353090901107364,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2503","Wintmalt/DH130910","2",0.543495526181206,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2504","Wintmalt/DH130910","Overall",0.738195366523522,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2505","Flavia/DH130910","2",0.207635856722759,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2506","Flavia/DH130910","Overall",0.207635856722759,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2507","Overall","0",0.125958767978539,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2508","Overall","2",0.414834816618095,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2509","Overall","Overall",0.605680778257146,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2510","SY_Tepee/DH130910","0",-0.164761969910848,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2511","SY_Tepee/DH130910","2",0.729626670115031,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2512","SY_Tepee/DH130910","Overall",0.636654517731343,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2513","Scala/DH130910","0",0.211882532759257,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2514","Scala/DH130910","2",0.392191918916584,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2515","Scala/DH130910","Overall",0.373392017623621,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2516","Wintmalt/DH130910","0",0.552185353476485,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2517","Wintmalt/DH130910","2",0.343054093772054,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2518","Wintmalt/DH130910","Overall",0.772746745207646,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2519","DH130910","2",NA,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2520","DH130910","Overall",NA,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2521","Flavia/DH130910","2",0.515885072902409,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2522","Flavia/DH130910","Overall",0.515885072902409,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2523","Overall","0",0.392002172723661,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2524","Overall","2",0.337088778425116,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2525","Overall","Overall",0.65415134078033,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2526","SY_Tepee/DH130910","0",0.452657036037226,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2527","SY_Tepee/DH130910","2",0.131656597321364,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2528","SY_Tepee/DH130910","Overall",0.668568638478045,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2529","Scala/DH130910","0",0.409880633935883,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2530","Scala/DH130910","2",0.270143817752877,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2531","Scala/DH130910","Overall",0.531368805647676,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2532","Wintmalt/DH130910","0",0.687331038788239,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2533","Wintmalt/DH130910","2",0.463091597246666,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2534","Wintmalt/DH130910","Overall",0.782473823621558,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2535","Flavia/DH130910","2",0.594195732851766,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2536","Flavia/DH130910","Overall",0.594195732851766,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2537","Overall","0",0.388426203134739,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2538","Overall","2",0.541947271187118,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2539","Overall","Overall",0.645432779252476,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2540","SY_Tepee/DH130910","0",-0.0239989020802105,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2541","SY_Tepee/DH130910","2",0.452029467685054,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2542","SY_Tepee/DH130910","Overall",0.653043119958281,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2543","Scala/DH130910","0",0.0103157586910528,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2544","Scala/DH130910","2",0.505524529384533,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2545","Scala/DH130910","Overall",0.313037358470669,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2546","Wintmalt/DH130910","0",0.93388452173615,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2547","Wintmalt/DH130910","2",0.589907311662937,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2548","Wintmalt/DH130910","Overall",0.791633949145487,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2549","Flavia/DH130910","2",0.567366116204292,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2550","Flavia/DH130910","Overall",0.567366116204292,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2551","Overall","0",0.453828490554305,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2552","Overall","2",0.449403246721931,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2553","Overall","Overall",0.668423437068336,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2554","SY_Tepee/DH130910","0",0.374648233020945,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2555","SY_Tepee/DH130910","2",0.636905198375982,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
"2556","SY_Tepee/DH130910","Overall",0.760393930558156,"Qsd1byFam_NoFixeff.eta","TP4_GI_2020_2021","Full"
